"Characteristic","FS_ENet_M1","FS_ENet_M2","Age_ENet_M1","Age_ENet_M2","FdAs_ENet_M1","FdAs_ENet_M2","HHS_ENet_M1","HHS_ENet_M2","PC1_M1","PC1_M2","PC2_M1","PC2_M2"
"Gastrointestinal","146 (7.9)","175 (9.6)","147 (8.5)","174 (9)","152 (8.3)","169 (9.2)","150 (8.1)","171 (9.4)","157 (8.1)","164 (9.2)","167 (9.7)","154 (7.7)"
"Genitourinary","74 (4.8)","71 (3.6)","73 (4.4)","72 (4)","75 (4.3)","70 (4.1)","76 (4.1)","69 (4.4)","75 (4.3)","70 (4.2)","80 (4.6)","65 (3.8)"
"Gynecological","227 (18.1)","295 (22.1)","318 (23.1)","204 (16.4)","220 (17.5)","302 (22.8)","218 (17.7)","304 (22.6)","252 (18.6)","270 (21.3)","273 (20.0)","249 (20.1)"
"MaleReproductive","306 (15.1)","314 (16.0)","299 (13.7)","321 (17.8)","316 (16.0)","304 (15.1)","300 (15.0)","320 (16.1)","348 (17.5)","272 (13.9)","317 (17.2)","303 (13.8)"
"Melanoma","138 (11.5)","102 (9.5)","113 (10.7)","127 (10.3)","131 (11.3)","109 (9.7)","135 (11.9)","105 (9)","113 (10.2)","127 (10.8)","118 (11.6)","122 (9.3)"
"Non-Melanoma Skin","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"Other","283 (20.8)","309 (22.4)","325 (24.0)","267 (18.6)","283 (20.8)","309 (22.4)","293 (22.2)","299 (20.8)","294 (22.0)","298 (21.2)","318 (22.6)","274 (20.4)"
"Skin-Unknown","","","","","","","","","","","",""
" ","","","","","","","","","","","",""
"SNAP","","**","","**","","**","","**","","*","","**"
"no","1482 (93.7)","1357 (83.1)","1351 (85.4)","1488 (92.5)","1512 (95.0)","1327 (81.7)","1476 (92.9)","1363 (84.0)","1379 (86.5)","1460 (90.5)","1352 (84.7)","1487 (92.9)"
"yes","176 (6.3)","302 (16.9)","307 (14.6)","171 (7.5)","146 (5)","332 (18.3)","182 (7.1)","296 (16.0)","279 (13.5)","199 (9.5)","306 (15.3)","172 (7.1)"
" ","","","","","","","","","","","",""
